Game ID,Black Player,White Player,Result,Moves
197,武宫正树,大场惇也,B+0.5,"[""pd"", ""dd"", ""pp"", ""dp"", ""fq"", ""cn"", ""pj"", ""jp"", ""dq"", ""cq"", ""cr"", ""eq"", ""dr"", ""er"", ""ep"", ""fr"", ""gq"", ""gr"", ""hq"", ""cp"", ""hr"", ""eo"", ""fp"", ""br"", ""kq"", ""nc"", ""oe"", ""ld"", ""lf"", ""jd"", ""pn"", ""mi"", ""nf"", ""mk"", ""lm"", ""jk"", ""jm"", ""cf"", ""jf"", ""hk"", ""hc"", ""kg"", ""kf"", ""ie"", ""fc"", ""db"", ""gf"", ""hf"", ""gg"", ""hg"", ""ge"", ""mg"", ""mf"", ""ib"", ""dg"", ""cg"", ""dh"", ""hh"", ""nj"", ""df"", ""gh"", ""mm"", ""mn"", ""ll"", ""nm"", ""qq"", ""pq"", ""rp"", ""kl"", ""rn"", ""ob"", ""pr"", ""or"", ""qr"", ""kk"", ""nr"", ""oq"", ""qh"", ""rj"", ""oi"", ""oj"", ""ki"", ""lg"", ""ni"", ""jh"", ""ji"", ""ii"", ""ij"", ""hi"", ""nb"", ""pi"", ""fk"", ""ic"", ""jc"", ""hb"", ""pb"", ""qb"", ""pc"", ""qc"", ""od"", ""pa"", ""oc"", ""pe"", ""fi"", ""gi"", ""ej"", ""di"", ""cj"", ""ps"", ""qs"", ""os"", ""fh"", ""jb"", ""kb"", ""ia"", ""kh"", ""lb"", ""ka"", ""eg"", ""og"", ""qf"", ""ci"", ""gm"", ""mj"", ""em"", ""qg"", ""he"", ""oa"", ""cm"", ""dk"", ""el"", ""gj"", ""rm"", ""cl"", ""qn"", ""ro"", ""sn"", ""rr"", ""dn"", ""do"", ""lh"", ""kj"", ""bn"", ""hm"", ""hn"", ""im"", ""in"", ""co"", ""gl"", ""bm""]"
794,水间俊文,武宫正树,W+R,"[""qd"", ""dp"", ""pq"", ""dd"", ""fc"", ""hc"", ""oc"", ""po"", ""pm"", ""pj"", ""nm"", ""pg"", ""fe"", ""df"", ""db"", ""cc"", ""jc"", ""jd"", ""ic"", ""id"", ""hb"", ""hd"", ""gc"", ""kd"", ""of"", ""nh"", ""mg"", ""ih"", ""eg"", ""ch"", ""li"", ""gg"", ""ef"", ""mj"", ""ji"", ""hj"", ""jl"", ""np"", ""rj"", ""qk"", ""qm"", ""rk"", ""rg"", ""pf"", ""qe"", ""oe"", ""ne"", ""nf"", ""mf"", ""og"", ""nd"", ""pp"", ""mi"", ""ol"", ""om"", ""ml"", ""mm"", ""ll"", ""lm"", ""oq"", ""ni"", ""oi"", ""nj"", ""ok"", ""mq"", ""lo"", ""km"", ""rh"", ""if"", ""ig"", ""hf"", ""jf"", ""gf"", ""kg"", ""hl"", ""fj"", ""qq"", ""or"", ""ro"", ""jp"", ""rl"", ""rf"", ""hq"", ""jr"", ""dn"", ""fp"", ""cg"", ""cf"", ""dg"", ""bg"", ""ci"", ""bh"", ""ei"", ""ej"", ""di"", ""kc"", ""cb"", ""bi"", ""ck"", ""mc"", ""nc"", ""el"", ""bc"", ""bd"", ""ab"", ""ad"", ""ii"", ""hi"", ""fi"", ""gi"", ""hg"", ""hh"", ""gk"", ""jk"", ""ik"", ""ij"", ""jj"", ""kk"", ""ng"", ""fl"", ""gl"", ""im"", ""il"", ""gj"", ""fn"", ""gn"", ""go"", ""fm"", ""gm"", ""hn"", ""fo"", ""io"", ""dl"", ""rp"", ""rn"", ""md"", ""qp"", ""gp"", ""me"", ""le"", ""cq"", ""cp"", ""eq"", ""ep"", ""dq"", ""fr"", ""er"", ""pr"", ""qr"", ""gr""]"
975,武宫正树,大桥拓文,B+8.5,"[""pd"", ""dp"", ""pp"", ""dd"", ""fq"", ""cn"", ""pj"", ""nc"", ""pf"", ""nq"", ""lq"", ""qq"", ""qp"", ""pq"", ""op"", ""np"", ""oq"", ""or"", ""pr"", ""qr"", ""nr"", ""ps"", ""no"", ""mr"", ""mp"", ""ns"", ""oc"", ""mo"", ""nn"", ""lo"", ""jp"", ""pn"", ""pm"", ""qm"", ""pl"", ""rp"", ""ro"", ""qo"", ""rq"", ""sp"", ""so"", ""oo"", ""sq"", ""rp"", ""sp"", ""on"", ""nm"", ""rl"", ""ql"", ""rn"", ""rk"", ""sn"", ""sl"", ""po"", ""rm"", ""qn"", ""jc"", ""je"", ""hd"", ""kc"", ""kd"", ""jd"", ""ic"", ""lc"", ""ke"", ""kf"", ""le"", ""oe"", ""lf"", ""pe"", ""qe"", ""nd"", ""of"", ""nf"", ""ng"", ""og"", ""qd"", ""mg"", ""nh"", ""mf"", ""me"", ""ne"", ""kg"", ""jf"", ""lg"", ""mh"", ""ki"", ""li"", ""ni"", ""kj"", ""ji"", ""jg"", ""jh"", ""hg"", ""lj"", ""ob"", ""pb"", ""mb"", ""oa"", ""na"", ""nb"", ""qf"", ""pg"", ""ob"", ""ee"", ""pa"", ""ed"", ""hi"", ""hj"", ""gj"", ""ij"", ""dc"", ""ec"", ""cf"", ""df"", ""ce"", ""gi"", ""fg"", ""gh"", ""dg"", ""gg"", ""qb"", ""dk"", ""fj"", ""eh"", ""eg"", ""ei"", ""ci"", ""ej"", ""fo"", ""cq"", ""dq"", ""dr"", ""cp"", ""br"", ""bq"", ""cr"", ""kq"", ""kp"", ""lp"", ""kr"", ""rc"", ""qg"", ""eb"", ""fb"", ""db"", ""jq"", ""mq"", ""kn"", ""mj""]"
38023,安田泰敏,武宫正树,W+R,"[""pd"", ""dp"", ""qp"", ""dd"", ""fq"", ""hq"", ""oq"", ""cn"", ""qj"", ""kq"", ""dq"", ""cq"", ""cr"", ""eq"", ""dr"", ""ep"", ""cp"", ""bq"", ""bp"", ""br"", ""bs"", ""er"", ""aq"", ""nc"", ""pf"", ""pb"", ""qc"", ""kc"", ""cf"", ""di"", ""cc"", ""cd"", ""dc"", ""ed"", ""bd"", ""be"", ""bc"", ""ce"", ""fc"", ""pk"", ""pj"", ""ok"", ""oj"", ""nk"", ""rl"", ""np"", ""op"", ""no"", ""nq"", ""ij"", ""bf"", ""eg"", ""lp"", ""lq"", ""mq"", ""kp"", ""lo"", ""kn"", ""ae"", ""mi"", ""dk"", ""dm"", ""ef"", ""ff"", ""dg"", ""eh"", ""fg"", ""gf"", ""ci"", ""ek"", ""ln"", ""lm"", ""mm"", ""ll"", ""cj"", ""ej"", ""gd"", ""ge"", ""id"", ""if"", ""qb"", ""on"", ""nn"", ""nm"", ""mn"", ""oo"", ""mp"", ""qo"", ""ro"", ""ng"", ""ko"", ""jo"", ""om"", ""pm"", ""nl"", ""ml"", ""kd"", ""jc"", ""jd"", ""kf"", ""lc"", ""lb"", ""ld"", ""jb"", ""ic"", ""ib"", ""hb"", ""oc"", ""ia"", ""ka"", ""ha"", ""ja"", ""pa"", ""oa"", ""mb"", ""nb"", ""mc"", ""ma"", ""jn"", ""km"", ""jp"", ""io"", ""nh"", ""mh"", ""og"", ""nf"", ""jr"", ""jq"", ""lr"", ""kr"", ""ks"", ""iq"", ""qn"", ""pn"", ""po"", ""mr"", ""lf"", ""lg"", ""ke"", ""jf"", ""he"", ""hf"", ""qa"", ""cl"", ""co"", ""do"", ""bn"", ""bk"", ""fd"", ""df""]"
38067,中村秀仁,武宫正树,W+1.5,"[""pd"", ""dp"", ""pq"", ""dd"", ""qo"", ""jp"", ""lq"", ""dm"", ""ic"", ""fd"", ""ie"", ""qf"", ""qd"", ""qi"", ""ph"", ""qh"", ""pf"", ""ig"", ""ci"", ""cg"", ""ck"", ""cl"", ""dk"", ""fl"", ""gj"", ""kg"", ""eg"", ""ce"", ""bf"", ""cf"", ""bg"", ""be"", ""ch"", ""ld"", ""fb"", ""db"", ""ke"", ""oc"", ""le"", ""qb"", ""rb"", ""qc"", ""qg"", ""rg"", ""pg"", ""rf"", ""rd"", ""md"", ""kc"", ""mf"", ""pi"", ""qk"", ""pj"", ""rl"", ""me"", ""ne"", ""nf"", ""oe"", ""pe"", ""lb"", ""pc"", ""pb"", ""od"", ""nc"", ""kb"", ""lc"", ""nd"", ""ka"", ""hp"", ""lp"", ""mp"", ""kq"", ""lo"", ""kp"", ""mq"", ""in"", ""dq"", ""cq"", ""cp"", ""do"", ""dr"", ""bp"", ""cr"", ""bq"", ""gq"", ""hr"", ""gr"", ""jr"", ""ep"", ""eo"", ""fp"", ""gg"", ""bl"", ""bm"", ""qm"", ""rm"", ""rn"", ""fh"", ""fk"", ""gl"", ""eh"", ""fi"", ""el"", ""ei"", ""di"", ""ij"", ""bk"", ""lm"", ""lr"", ""mn"", ""mo"", ""kn"", ""nn"", ""nm"", ""on"", ""mj"", ""ql"", ""rk"", ""lh"", ""ki"", ""em"", ""br"", ""gn"", ""gk"", ""fj"", ""ej"", ""ek"", ""af"", ""ah"", ""mg"", ""ec"", ""gc"", ""gb"", ""ja"", ""ib"", ""ng"", ""og"", ""kd"", ""jd"", ""ni"", ""nk"", ""mk"", ""dc"", ""cc"", ""hj"", ""ik"", ""ed"", ""ee"", ""eb"", ""cb""]"
38271,武宫正树,秋山次郎,B+R,"[""pd"", ""dd"", ""pp"", ""dq"", ""do"", ""dl"", ""hp"", ""fq"", ""fp"", ""gp"", ""go"", ""gq"", ""hn"", ""io"", ""ho"", ""ir"", ""di"", ""gm"", ""cf"", ""il"", ""jq"", ""iq"", ""ip"", ""jp"", ""jo"", ""kp"", ""ko"", ""lo"", ""lp"", ""kq"", ""ln"", ""mo"", ""km"", ""mp"", ""pn"", ""nm"", ""gd"", ""pm"", ""qn"", ""mn"", ""ll"", ""bd"", ""fj"", ""gk"", ""hi"", ""jm"", ""in"", ""kk"", ""lk"", ""kj"", ""kl"", ""ij"", ""hj"", ""hk"", ""jl"", ""ii"", ""hh"", ""gj"", ""fi"", ""df"", ""dg"", ""ef"", ""jg"", ""kh"", ""kg"", ""mh"", ""mf"", ""eg"", ""fh"", ""en"", ""fn"", ""eo"", ""fm"", ""el"", ""ep"", ""dn"", ""fo"", ""dp"", ""eq"", ""co"", ""hq"", ""hr"", ""er"", ""gr"", ""jk"", ""ik"", ""im"", ""gf"", ""hf"", ""hg"", ""he"", ""ih"", ""gg"", ""ig"", ""ff"", ""je"", ""if"", ""jc"", ""mc"", ""lc"", ""md"", ""gb"", ""fc"", ""fb"", ""ec"", ""eb"", ""dc"", ""cg"", ""lb"", ""kb"", ""ld"", ""kc"", ""or"", ""oq"", ""pq"", ""qf"", ""pg"", ""bg"", ""cj"", ""dk"", ""fl"", ""fk"", ""ej"", ""ek"", ""qg"", ""qd"", ""qc"", ""pc"", ""rd"", ""qe"", ""rc"", ""od"", ""pb"", ""of"", ""og"", ""nf"", ""ng"", ""mg"", ""lf"", ""oc"", ""ob"", ""rg"", ""rh"", ""re"", ""sg"", ""sf"", ""rf"", ""fe"", ""ge"", ""rg""]"
38643,铃木伊佐男,武宫正树,W+R,"[""qd"", ""dd"", ""pp"", ""dp"", ""fc"", ""nd"", ""lc"", ""ee"", ""le"", ""gd"", ""cc"", ""dc"", ""cd"", ""ce"", ""be"", ""cf"", ""bf"", ""cg"", ""db"", ""eb"", ""cb"", ""nf"", ""lg"", ""pf"", ""pc"", ""qe"", ""re"", ""rf"", ""rd"", ""nh"", ""li"", ""nj"", ""qm"", ""qk"", ""fq"", ""dn"", ""dr"", ""hq"", ""cq"", ""eq"", ""bo"", ""er"", ""cm"", ""nq"", ""pq"", ""qo"", ""po"", ""qn"", ""pm"", ""rm"", ""rl"", ""pn"", ""on"", ""rn"", ""ql"", ""om"", ""ol"", ""nm"", ""nl"", ""rk"", ""sm"", ""pk"", ""pl"", ""oo"", ""nn"", ""mm"", ""mn"", ""ln"", ""mo"", ""rq"", ""ml"", ""lm"", ""lo"", ""ll"", ""mk"", ""lq"", ""kp"", ""rr"", ""np"", ""jr"", ""qp"", ""rp"", ""sn"", ""ro"", ""pr"", ""qs"", ""ip"", ""lk"", ""mj"", ""kh"", ""lh"", ""hm"", ""hp"", ""gp"", ""iq"", ""ir"", ""gq"", ""hr"", ""hn"", ""im"", ""gm"", ""gl"", ""in"", ""fp"", ""jm"", ""jl"", ""kn"", ""lj"", ""mi"", ""ki"", ""sk"", ""so"", ""rj"", ""qi"", ""ri"", ""qh"", ""oe"", ""ne"", ""pe"", ""qf"", ""rh"", ""sl"", ""sm"", ""oc"", ""ob"", ""nb"", ""pb"", ""of"", ""pd"", ""ld"", ""md"", ""kd"", ""mc"", ""lf"", ""kf"", ""ke"", ""me"", ""mf"", ""kg"", ""nc"", ""kc"", ""id"", ""mb"", ""na"", ""jc"", ""ie"", ""hb"", ""ih"", ""rg"", ""sj""]"
38858,熊丰,武宫正树,B+R,"[""pd"", ""dd"", ""qp"", ""op"", ""oo"", ""no"", ""po"", ""np"", ""pq"", ""dp"", ""nn"", ""mn"", ""mm"", ""nm"", ""on"", ""ln"", ""ml"", ""jq"", ""ip"", ""jp"", ""qg"", ""co"", ""kl"", ""ph"", ""pg"", ""oh"", ""qh"", ""lh"", ""ji"", ""kg"", ""fd"", ""cf"", ""jf"", ""jg"", ""ig"", ""kf"", ""je"", ""ke"", ""jd"", ""kd"", ""jc"", ""nc"", ""lb"", ""og"", ""pi"", ""oi"", ""nd"", ""lc"", ""oj"", ""mb"", ""oc"", ""nk"", ""nj"", ""mk"", ""mj"", ""lk"", ""ki"", ""ll"", ""md"", ""ih"", ""jh"", ""kb"", ""jb"", ""mg"", ""kc"", ""ld"", ""ka"", ""me"", ""iq"", ""io"", ""ho"", ""hn"", ""in"", ""jo"", ""gn"", ""hm"", ""gp"", ""hg"", ""if"", ""pj"", ""qi"", ""ok"", ""pk"", ""lj"", ""qj"", ""hh"", ""gk"", ""gl"", ""dn"", ""fl"", ""cn"", ""eo"", ""do"", ""eq"", ""cp"", ""en"", ""fq"", ""em"", ""er"", ""dr"", ""fr"", ""bn"", ""cg"", ""dg"", ""dh"", ""eg"", ""bf"", ""bg"", ""ch"", ""be"", ""df"", ""af"", ""ce"", ""bf"", ""bm"", ""bo"", ""dl"", ""cl"", ""cd"", ""de"", ""ef"", ""fg"", ""ff"", ""cc"", ""gi"", ""ei"", ""cm"", ""dj"", ""bp"", ""bl"", ""dm"", ""dk"", ""an"", ""el"", ""ao"", ""ir"", ""hr"", ""jr"", ""cr"", ""pp"", ""qo"", ""pr"", ""or"", ""qq"", ""oq"", ""rr"", ""mq"", ""mp"", ""lp"", ""mo""]"
38981,武宫正树,中小野田智己,W+2.5,"[""pd"", ""dd"", ""pp"", ""dp"", ""fq"", ""cn"", ""jp"", ""qn"", ""ql"", ""qq"", ""pq"", ""qp"", ""po"", ""pn"", ""qo"", ""ro"", ""rp"", ""rq"", ""rn"", ""sp"", ""on"", ""rm"", ""pm"", ""sn"", ""qm"", ""rn"", ""nm"", ""jc"", ""cf"", ""cd"", ""ci"", ""ck"", ""ef"", ""dg"", ""df"", ""fd"", ""ei"", ""nc"", ""pf"", ""ge"", ""fo"", ""dr"", ""lc"", ""ol"", ""om"", ""mq"", ""oc"", ""no"", ""oo"", ""ko"", ""kq"", ""jo"", ""ip"", ""io"", ""hp"", ""kl"", ""lp"", ""mn"", ""mm"", ""ln"", ""mo"", ""fh"", ""eg"", ""nd"", ""kd"", ""of"", ""jd"", ""ic"", ""pg"", ""og"", ""kg"", ""ph"", ""kj"", ""pe"", ""qe"", ""oe"", ""qd"", ""qh"", ""ik"", ""il"", ""hl"", ""hm"", ""gl"", ""kk"", ""lj"", ""jk"", ""jj"", ""jm"", ""rg"", ""rh"", ""qf"", ""ni"", ""be"", ""bd"", ""id"", ""hc"", ""er"", ""eq"", ""fr"", ""bi"", ""bh"", ""cj"", ""di"", ""dm"", ""hd"", ""gd"", ""gg"", ""pr"", ""or"", ""qs"", ""nq"", ""hf"", ""ig"", ""fk"", ""hj"", ""lo"", ""mp"", ""gj"", ""lm"", ""km"", ""hn"", ""im"", ""kb"", ""nb"", ""pb"", ""jb"", ""me"", ""qk"", ""pk"", ""rk"", ""pj"", ""mg"", ""bj"", ""bk"", ""ai"", ""hg"", ""hh"", ""fl"", ""gm"", ""fm"", ""gn"", ""gh"", ""hi"", ""lf"", ""le"", ""kf"", ""jf"", ""nk"", ""gf"", ""fj""]"
39162,武宫正树,后藤俊午,B+R,"[""pd"", ""dd"", ""pp"", ""dp"", ""pj"", ""nc"", ""pf"", ""jd"", ""jp"", ""hq"", ""cf"", ""dh"", ""cc"", ""dc"", ""cd"", ""de"", ""cb"", ""nq"", ""df"", ""ef"", ""eg"", ""dg"", ""ff"", ""ee"", ""bg"", ""gd"", ""no"", ""qq"", ""pq"", ""qp"", ""qo"", ""pr"", ""or"", ""qr"", ""po"", ""oq"", ""mq"", ""nr"", ""me"", ""ld"", ""eh"", ""di"", ""ei"", ""dj"", ""ej"", ""dk"", ""fl"", ""dn"", ""kf"", ""ll"", ""jl"", ""ol"", ""pl"", ""ln"", ""jn"", ""lp"", ""mp"", ""lq"", ""ok"", ""qc"", ""pc"", ""pb"", ""qd"", ""qb"", ""lr"", ""kq"", ""lo"", ""ko"", ""mo"", ""kn"", ""jo"", ""kp"", ""jq"", ""kr"", ""mr"", ""jr"", ""fq"", ""fp"", ""dq"", ""eq"", ""er"", ""ep"", ""gq"", ""gp"", ""cq"", ""dr"", ""cr"", ""fr"", ""ds"", ""hl"", ""hk"", ""gk"", ""ik"", ""gl"", ""gj"", ""lj"", ""fk"", ""db"", ""bi"", ""bj"", ""bo"", ""ca"", ""ba"", ""da"", ""bc"", ""bn"", ""co"", ""cn"", ""gn"", ""hr"", ""ro"", ""rp"", ""rc"", ""rb"", ""rd"", ""mi"", ""nh"", ""nl"", ""nk"", ""om"", ""pm"", ""ni"", ""oi"", ""gf"", ""mc"", ""md"", ""ob""]"
