Game ID,Black Player,White Player,Result,Moves
197,武宫正树,大场惇也,B+0.5,"[""pd"", ""dd"", ""pp"", ""dp"", ""fq"", ""cn"", ""pj"", ""jp"", ""dq"", ""cq"", ""cr"", ""eq"", ""dr"", ""er"", ""ep"", ""fr"", ""gq"", ""gr"", ""hq"", ""cp"", ""hr"", ""eo"", ""fp"", ""br"", ""kq"", ""nc"", ""oe"", ""ld"", ""lf"", ""jd"", ""pn"", ""mi"", ""nf"", ""mk"", ""lm"", ""jk"", ""jm"", ""cf"", ""jf"", ""hk"", ""hc"", ""kg"", ""kf"", ""ie"", ""fc"", ""db"", ""gf"", ""hf"", ""gg"", ""hg"", ""ge"", ""mg"", ""mf"", ""ib"", ""dg"", ""cg"", ""dh"", ""hh"", ""nj"", ""df"", ""gh"", ""mm"", ""mn"", ""ll"", ""nm"", ""qq"", ""pq"", ""rp"", ""kl"", ""rn"", ""ob"", ""pr"", ""or"", ""qr"", ""kk"", ""nr"", ""oq"", ""qh"", ""rj"", ""oi"", ""oj"", ""ki"", ""lg"", ""ni"", ""jh"", ""ji"", ""ii"", ""ij"", ""hi"", ""nb"", ""pi"", ""fk"", ""ic"", ""jc"", ""hb"", ""pb"", ""qb"", ""pc"", ""qc"", ""od"", ""pa"", ""oc"", ""pe"", ""fi"", ""gi"", ""ej"", ""di"", ""cj"", ""ps"", ""qs"", ""os"", ""fh"", ""jb"", ""kb"", ""ia"", ""kh"", ""lb"", ""ka"", ""eg"", ""og"", ""qf"", ""ci"", ""gm"", ""mj"", ""em"", ""qg"", ""he"", ""oa"", ""cm"", ""dk"", ""el"", ""gj"", ""rm"", ""cl"", ""qn"", ""ro"", ""sn"", ""rr"", ""dn"", ""do"", ""lh"", ""kj"", ""bn"", ""hm"", ""hn"", ""im"", ""in"", ""co"", ""gl"", ""bm"", ""dm"", ""bl"", ""gs"", ""cs"", ""ec"", ""dc"", ""ch"", ""bh"", ""eb"", ""rg"", ""da"", ""ca"", ""ea"", ""cb"", ""if"", ""ri"", ""nl"", ""md"", ""jg"", ""rf"", ""re"", ""qa"", ""ph"", ""pg"", ""ml"", ""so"", ""sm"", ""rd"", ""se"", ""jl"", ""fo"", ""lk"", ""km"", ""rb"", ""rc"", ""rk"", ""sj"", ""qj"", ""qk"", ""qi"", ""rl"", ""sc"", ""qd"", ""id"", ""li"", ""lj"", ""hl"", ""il"", ""bi"", ""ee"", ""ef"", ""bg"", ""ek"", ""hj"", ""ja"", ""kd"", ""ed"", ""fe"", ""fs"", ""ds"", ""pf"", ""qo"", ""po"", ""en"", ""fn"", ""gd"", ""hd"", ""fd"", ""gc"", ""fl"", ""fm"", ""nk"", ""ok"", ""si"", ""sk"", ""ng"", ""sf"", ""ra"", ""sb"", ""sa"", ""sg"", ""sh"", ""dj"", ""dl"", ""sd"", ""pa"", ""sb"", ""oh"", ""mh"", ""de"", ""sc""]"
794,水间俊文,武宫正树,W+R,"[""qd"", ""dp"", ""pq"", ""dd"", ""fc"", ""hc"", ""oc"", ""po"", ""pm"", ""pj"", ""nm"", ""pg"", ""fe"", ""df"", ""db"", ""cc"", ""jc"", ""jd"", ""ic"", ""id"", ""hb"", ""hd"", ""gc"", ""kd"", ""of"", ""nh"", ""mg"", ""ih"", ""eg"", ""ch"", ""li"", ""gg"", ""ef"", ""mj"", ""ji"", ""hj"", ""jl"", ""np"", ""rj"", ""qk"", ""qm"", ""rk"", ""rg"", ""pf"", ""qe"", ""oe"", ""ne"", ""nf"", ""mf"", ""og"", ""nd"", ""pp"", ""mi"", ""ol"", ""om"", ""ml"", ""mm"", ""ll"", ""lm"", ""oq"", ""ni"", ""oi"", ""nj"", ""ok"", ""mq"", ""lo"", ""km"", ""rh"", ""if"", ""ig"", ""hf"", ""jf"", ""gf"", ""kg"", ""hl"", ""fj"", ""qq"", ""or"", ""ro"", ""jp"", ""rl"", ""rf"", ""hq"", ""jr"", ""dn"", ""fp"", ""cg"", ""cf"", ""dg"", ""bg"", ""ci"", ""bh"", ""ei"", ""ej"", ""di"", ""kc"", ""cb"", ""bi"", ""ck"", ""mc"", ""nc"", ""el"", ""bc"", ""bd"", ""ab"", ""ad"", ""ii"", ""hi"", ""fi"", ""gi"", ""hg"", ""hh"", ""gk"", ""jk"", ""ik"", ""ij"", ""jj"", ""kk"", ""ng"", ""fl"", ""gl"", ""im"", ""il"", ""gj"", ""fn"", ""gn"", ""go"", ""fm"", ""gm"", ""hn"", ""fo"", ""io"", ""dl"", ""rp"", ""rn"", ""md"", ""qp"", ""gp"", ""me"", ""le"", ""cq"", ""cp"", ""eq"", ""ep"", ""dq"", ""fr"", ""er"", ""pr"", ""qr"", ""gr"", ""sk"", ""re"", ""rd"", ""ri"", ""bj"", ""bp"", ""dc"", ""cd"", ""de"", ""ce"", ""ai"", ""ed"", ""ee"", ""af"", ""bq"", ""bn"", ""cn"", ""bm"", ""bl"", ""br"", ""ar"", ""cr""]"
975,武宫正树,大桥拓文,B+8.5,"[""pd"", ""dp"", ""pp"", ""dd"", ""fq"", ""cn"", ""pj"", ""nc"", ""pf"", ""nq"", ""lq"", ""qq"", ""qp"", ""pq"", ""op"", ""np"", ""oq"", ""or"", ""pr"", ""qr"", ""nr"", ""ps"", ""no"", ""mr"", ""mp"", ""ns"", ""oc"", ""mo"", ""nn"", ""lo"", ""jp"", ""pn"", ""pm"", ""qm"", ""pl"", ""rp"", ""ro"", ""qo"", ""rq"", ""sp"", ""so"", ""oo"", ""sq"", ""rp"", ""sp"", ""on"", ""nm"", ""rl"", ""ql"", ""rn"", ""rk"", ""sn"", ""sl"", ""po"", ""rm"", ""qn"", ""jc"", ""je"", ""hd"", ""kc"", ""kd"", ""jd"", ""ic"", ""lc"", ""ke"", ""kf"", ""le"", ""oe"", ""lf"", ""pe"", ""qe"", ""nd"", ""of"", ""nf"", ""ng"", ""og"", ""qd"", ""mg"", ""nh"", ""mf"", ""me"", ""ne"", ""kg"", ""jf"", ""lg"", ""mh"", ""ki"", ""li"", ""ni"", ""kj"", ""ji"", ""jg"", ""jh"", ""hg"", ""lj"", ""ob"", ""pb"", ""mb"", ""oa"", ""na"", ""nb"", ""qf"", ""pg"", ""ob"", ""ee"", ""pa"", ""ed"", ""hi"", ""hj"", ""gj"", ""ij"", ""dc"", ""ec"", ""cf"", ""df"", ""ce"", ""gi"", ""fg"", ""gh"", ""dg"", ""gg"", ""qb"", ""dk"", ""fj"", ""eh"", ""eg"", ""ei"", ""ci"", ""ej"", ""fo"", ""cq"", ""dq"", ""dr"", ""cp"", ""br"", ""bq"", ""cr"", ""kq"", ""kp"", ""lp"", ""kr"", ""rc"", ""qg"", ""eb"", ""fb"", ""db"", ""jq"", ""mq"", ""kn"", ""mj"", ""lk"", ""mi"", ""fm"", ""ho"", ""hm"", ""dm"", ""cj"", ""gq"", ""eq"", ""fp"", ""bp"", ""bo"", ""aq"", ""gr"", ""io"", ""hn"", ""in"", ""bi"", ""ff"", ""bk"", ""dh"", ""ch"", ""hp"", ""gp"", ""cl"", ""bl"", ""kb"", ""nj"", ""oj"", ""lm"", ""kk"", ""fa"", ""gb"", ""ml"", ""km"", ""ef"", ""ge"", ""dl"", ""ck"", ""fl"", ""gl"", ""el"", ""bm"", ""cm"", ""bj"", ""gk"", ""ak"", ""hk"", ""il"", ""bn"", ""al"", ""ir"", ""hq"", ""iq"", ""ip"", ""hr"", ""en"", ""fn"", ""em"", ""gn"", ""gm"", ""do"", ""fr"", ""pc"", ""jr"", ""gs"", ""is"", ""dn"", ""nl"", ""fs"", ""es"", ""ka"", ""jb"", ""od"", ""rf"", ""rd"", ""re"", ""nk"", ""lr"", ""ok"", ""ln"", ""pk"", ""qk"", ""mk"", ""ll"", ""jk"", ""jj"", ""ik"", ""jl"", ""mm"", ""mn"", ""de"", ""ai"", ""ah"", ""bg"", ""cg"", ""aj"", ""bh"", ""lb"", ""la"", ""ga"", ""ea"", ""ko"", ""mp"", ""sm"", ""rp"", ""ja"", ""qc"", ""sd"", ""sc"", ""se"", ""ma"", ""md"", ""mc"", ""hl"", ""an"", ""am"", ""ap"", ""bq"", ""di"", ""ls"", ""ao""]"
38023,安田泰敏,武宫正树,W+R,"[""pd"", ""dp"", ""qp"", ""dd"", ""fq"", ""hq"", ""oq"", ""cn"", ""qj"", ""kq"", ""dq"", ""cq"", ""cr"", ""eq"", ""dr"", ""ep"", ""cp"", ""bq"", ""bp"", ""br"", ""bs"", ""er"", ""aq"", ""nc"", ""pf"", ""pb"", ""qc"", ""kc"", ""cf"", ""di"", ""cc"", ""cd"", ""dc"", ""ed"", ""bd"", ""be"", ""bc"", ""ce"", ""fc"", ""pk"", ""pj"", ""ok"", ""oj"", ""nk"", ""rl"", ""np"", ""op"", ""no"", ""nq"", ""ij"", ""bf"", ""eg"", ""lp"", ""lq"", ""mq"", ""kp"", ""lo"", ""kn"", ""ae"", ""mi"", ""dk"", ""dm"", ""ef"", ""ff"", ""dg"", ""eh"", ""fg"", ""gf"", ""ci"", ""ek"", ""ln"", ""lm"", ""mm"", ""ll"", ""cj"", ""ej"", ""gd"", ""ge"", ""id"", ""if"", ""qb"", ""on"", ""nn"", ""nm"", ""mn"", ""oo"", ""mp"", ""qo"", ""ro"", ""ng"", ""ko"", ""jo"", ""om"", ""pm"", ""nl"", ""ml"", ""kd"", ""jc"", ""jd"", ""kf"", ""lc"", ""lb"", ""ld"", ""jb"", ""ic"", ""ib"", ""hb"", ""oc"", ""ia"", ""ka"", ""ha"", ""ja"", ""pa"", ""oa"", ""mb"", ""nb"", ""mc"", ""ma"", ""jn"", ""km"", ""jp"", ""io"", ""nh"", ""mh"", ""og"", ""nf"", ""jr"", ""jq"", ""lr"", ""kr"", ""ks"", ""iq"", ""qn"", ""pn"", ""po"", ""mr"", ""lf"", ""lg"", ""ke"", ""jf"", ""he"", ""hf"", ""qa"", ""cl"", ""co"", ""do"", ""bn"", ""bk"", ""fd"", ""df"", ""de"", ""ee"", ""df"", ""fe"", ""bm"", ""ch"", ""bh"", ""dh"", ""ck"", ""bg"", ""dl"", ""cm"", ""bl"", ""el"", ""nr"", ""ls"", ""bi"", ""ag""]"
38067,中村秀仁,武宫正树,W+1.5,"[""pd"", ""dp"", ""pq"", ""dd"", ""qo"", ""jp"", ""lq"", ""dm"", ""ic"", ""fd"", ""ie"", ""qf"", ""qd"", ""qi"", ""ph"", ""qh"", ""pf"", ""ig"", ""ci"", ""cg"", ""ck"", ""cl"", ""dk"", ""fl"", ""gj"", ""kg"", ""eg"", ""ce"", ""bf"", ""cf"", ""bg"", ""be"", ""ch"", ""ld"", ""fb"", ""db"", ""ke"", ""oc"", ""le"", ""qb"", ""rb"", ""qc"", ""qg"", ""rg"", ""pg"", ""rf"", ""rd"", ""md"", ""kc"", ""mf"", ""pi"", ""qk"", ""pj"", ""rl"", ""me"", ""ne"", ""nf"", ""oe"", ""pe"", ""lb"", ""pc"", ""pb"", ""od"", ""nc"", ""kb"", ""lc"", ""nd"", ""ka"", ""hp"", ""lp"", ""mp"", ""kq"", ""lo"", ""kp"", ""mq"", ""in"", ""dq"", ""cq"", ""cp"", ""do"", ""dr"", ""bp"", ""cr"", ""bq"", ""gq"", ""hr"", ""gr"", ""jr"", ""ep"", ""eo"", ""fp"", ""gg"", ""bl"", ""bm"", ""qm"", ""rm"", ""rn"", ""fh"", ""fk"", ""gl"", ""eh"", ""fi"", ""el"", ""ei"", ""di"", ""ij"", ""bk"", ""lm"", ""lr"", ""mn"", ""mo"", ""kn"", ""nn"", ""nm"", ""on"", ""mj"", ""ql"", ""rk"", ""lh"", ""ki"", ""em"", ""br"", ""gn"", ""gk"", ""fj"", ""ej"", ""ek"", ""af"", ""ah"", ""mg"", ""ec"", ""gc"", ""gb"", ""ja"", ""ib"", ""ng"", ""og"", ""kd"", ""jd"", ""ni"", ""nk"", ""mk"", ""dc"", ""cc"", ""hj"", ""ik"", ""ed"", ""ee"", ""eb"", ""cb"", ""hh"", ""ff"", ""ge"", ""fe"", ""bn"", ""cn"", ""am"", ""bo"", ""cm"", ""hc"", ""hb"", ""bm"", ""nh"", ""mh"", ""cm"", ""rc"", ""sc"", ""bm"", ""qj"", ""rj"", ""cm"", ""pk"", ""hg"", ""hf"", ""if"", ""ih"", ""gf"", ""hi"", ""he"", ""gh"", ""hf"", ""gi"", ""jb"", ""nb"", ""jg"", ""kf"", ""jf"", ""jh"", ""dl"", ""bs"", ""nl"", ""mm"", ""iq"", ""ir"", ""kr"", ""go"", ""fo"", ""ho"", ""ip"", ""jq"", ""en"", ""om"", ""nj"", ""pn"", ""po"", ""pm"", ""qn"", ""gm"", ""oi"", ""mi"", ""hk"", ""hl"", ""gs"", ""hn"", ""fn"", ""cs"", ""ds"", ""fg"", ""jo"", ""ko"", ""io"", ""jn"", ""ia"", ""la"", ""ml"", ""ll"", ""sm"", ""sl"", ""sn"", ""dj"", ""cj"", ""ra"", ""sb"", ""ea"", ""fa"", ""da"", ""ao"", ""ap"", ""an"", ""hd"", ""id"", ""lf"", ""of"", ""ne"", ""oe"", ""dg"", ""dh"", ""ef"", ""js"", ""co"", ""dn"", ""ae"", ""ag"", ""oh"", ""sf"", ""se"", ""re"", ""sg"", ""sd"", ""sf"", ""nh"", ""ks"", ""ls"", ""oh"", ""ri"", ""rh"", ""nh"", ""is"", ""ks"", ""oh"", ""si"", ""sj"", ""nh"", ""al"", ""ak"", ""oh"", ""qa"", ""pa"", ""nh"", ""bh"", ""bi"", ""oh"", ""de"", ""df"", ""nh"", ""eq"", ""er"", ""oh"", ""cd"", ""bd"", ""nh"", ""fr"", ""fq"", ""oh"", ""na"", ""nh"", ""sa"", ""ma"", ""qa"", ""ol"", ""oj"", ""ra"", ""je"", ""qa""]"
38271,武宫正树,秋山次郎,B+R,"[""pd"", ""dd"", ""pp"", ""dq"", ""do"", ""dl"", ""hp"", ""fq"", ""fp"", ""gp"", ""go"", ""gq"", ""hn"", ""io"", ""ho"", ""ir"", ""di"", ""gm"", ""cf"", ""il"", ""jq"", ""iq"", ""ip"", ""jp"", ""jo"", ""kp"", ""ko"", ""lo"", ""lp"", ""kq"", ""ln"", ""mo"", ""km"", ""mp"", ""pn"", ""nm"", ""gd"", ""pm"", ""qn"", ""mn"", ""ll"", ""bd"", ""fj"", ""gk"", ""hi"", ""jm"", ""in"", ""kk"", ""lk"", ""kj"", ""kl"", ""ij"", ""hj"", ""hk"", ""jl"", ""ii"", ""hh"", ""gj"", ""fi"", ""df"", ""dg"", ""ef"", ""jg"", ""kh"", ""kg"", ""mh"", ""mf"", ""eg"", ""fh"", ""en"", ""fn"", ""eo"", ""fm"", ""el"", ""ep"", ""dn"", ""fo"", ""dp"", ""eq"", ""co"", ""hq"", ""hr"", ""er"", ""gr"", ""jk"", ""ik"", ""im"", ""gf"", ""hf"", ""hg"", ""he"", ""ih"", ""gg"", ""ig"", ""ff"", ""je"", ""if"", ""jc"", ""mc"", ""lc"", ""md"", ""gb"", ""fc"", ""fb"", ""ec"", ""eb"", ""dc"", ""cg"", ""lb"", ""kb"", ""ld"", ""kc"", ""or"", ""oq"", ""pq"", ""qf"", ""pg"", ""bg"", ""cj"", ""dk"", ""fl"", ""fk"", ""ej"", ""ek"", ""qg"", ""qd"", ""qc"", ""pc"", ""rd"", ""qe"", ""rc"", ""od"", ""pb"", ""of"", ""og"", ""nf"", ""ng"", ""mg"", ""lf"", ""oc"", ""ob"", ""rg"", ""rh"", ""re"", ""sg"", ""sf"", ""rf"", ""fe"", ""ge"", ""rg"", ""hc"", ""hb"", ""rf"", ""fg"", ""gf"", ""rg"", ""lq"", ""kr"", ""rf"", ""jf"", ""eh"", ""dh"", ""dj"", ""rg"", ""sh"", ""nb"", ""nc"", ""ne"", ""pe"", ""pf"", ""mb"", ""qh"", ""rf"", ""ic"", ""ce"", ""cd"", ""ee"", ""de"", ""ed"", ""rg"", ""nq"", ""ri"", ""rf"", ""gi"", ""gh"", ""rg"", ""lr"", ""si"", ""gs"", ""dr"", ""ds"", ""qm"", ""nk"", ""cs"", ""es"", ""rn"", ""ro"", ""rm"", ""on"", ""om"", ""ni"", ""br"", ""pi"", ""oo"", ""op"", ""mi"", ""mj"", ""oj"", ""oi"", ""pj"", ""nj"", ""qi"", ""bl"", ""bm"", ""cc"", ""bc"", ""bb"", ""db"", ""cb"", ""bk"", ""bj"", ""al"", ""so"", ""lg"", ""kf"", ""bi"", ""ci"", ""bh"", ""li"", ""ki"", ""lj"", ""lh"", ""ol""]"
38643,铃木伊佐男,武宫正树,W+R,"[""qd"", ""dd"", ""pp"", ""dp"", ""fc"", ""nd"", ""lc"", ""ee"", ""le"", ""gd"", ""cc"", ""dc"", ""cd"", ""ce"", ""be"", ""cf"", ""bf"", ""cg"", ""db"", ""eb"", ""cb"", ""nf"", ""lg"", ""pf"", ""pc"", ""qe"", ""re"", ""rf"", ""rd"", ""nh"", ""li"", ""nj"", ""qm"", ""qk"", ""fq"", ""dn"", ""dr"", ""hq"", ""cq"", ""eq"", ""bo"", ""er"", ""cm"", ""nq"", ""pq"", ""qo"", ""po"", ""qn"", ""pm"", ""rm"", ""rl"", ""pn"", ""on"", ""rn"", ""ql"", ""om"", ""ol"", ""nm"", ""nl"", ""rk"", ""sm"", ""pk"", ""pl"", ""oo"", ""nn"", ""mm"", ""mn"", ""ln"", ""mo"", ""rq"", ""ml"", ""lm"", ""lo"", ""ll"", ""mk"", ""lq"", ""kp"", ""rr"", ""np"", ""jr"", ""qp"", ""rp"", ""sn"", ""ro"", ""pr"", ""qs"", ""ip"", ""lk"", ""mj"", ""kh"", ""lh"", ""hm"", ""hp"", ""gp"", ""iq"", ""ir"", ""gq"", ""hr"", ""hn"", ""im"", ""gm"", ""gl"", ""in"", ""fp"", ""jm"", ""jl"", ""kn"", ""lj"", ""mi"", ""ki"", ""sk"", ""so"", ""rj"", ""qi"", ""ri"", ""qh"", ""oe"", ""ne"", ""pe"", ""qf"", ""rh"", ""sl"", ""sm"", ""oc"", ""ob"", ""nb"", ""pb"", ""of"", ""pd"", ""ld"", ""md"", ""kd"", ""mc"", ""lf"", ""kf"", ""ke"", ""me"", ""mf"", ""kg"", ""nc"", ""kc"", ""id"", ""mb"", ""na"", ""jc"", ""ie"", ""hb"", ""ih"", ""rg"", ""sj"", ""si"", ""sg"", ""qg"", ""ph"", ""pg"", ""og"", ""oi"", ""ni""]"
38858,熊丰,武宫正树,B+R,"[""pd"", ""dd"", ""qp"", ""op"", ""oo"", ""no"", ""po"", ""np"", ""pq"", ""dp"", ""nn"", ""mn"", ""mm"", ""nm"", ""on"", ""ln"", ""ml"", ""jq"", ""ip"", ""jp"", ""qg"", ""co"", ""kl"", ""ph"", ""pg"", ""oh"", ""qh"", ""lh"", ""ji"", ""kg"", ""fd"", ""cf"", ""jf"", ""jg"", ""ig"", ""kf"", ""je"", ""ke"", ""jd"", ""kd"", ""jc"", ""nc"", ""lb"", ""og"", ""pi"", ""oi"", ""nd"", ""lc"", ""oj"", ""mb"", ""oc"", ""nk"", ""nj"", ""mk"", ""mj"", ""lk"", ""ki"", ""ll"", ""md"", ""ih"", ""jh"", ""kb"", ""jb"", ""mg"", ""kc"", ""ld"", ""ka"", ""me"", ""iq"", ""io"", ""ho"", ""hn"", ""in"", ""jo"", ""gn"", ""hm"", ""gp"", ""hg"", ""if"", ""pj"", ""qi"", ""ok"", ""pk"", ""lj"", ""qj"", ""hh"", ""gk"", ""gl"", ""dn"", ""fl"", ""cn"", ""eo"", ""do"", ""eq"", ""cp"", ""en"", ""fq"", ""em"", ""er"", ""dr"", ""fr"", ""bn"", ""cg"", ""dg"", ""dh"", ""eg"", ""bf"", ""bg"", ""ch"", ""be"", ""df"", ""af"", ""ce"", ""bf"", ""bm"", ""bo"", ""dl"", ""cl"", ""cd"", ""de"", ""ef"", ""fg"", ""ff"", ""cc"", ""gi"", ""ei"", ""cm"", ""dj"", ""bp"", ""bl"", ""dm"", ""dk"", ""an"", ""el"", ""ao"", ""ir"", ""hr"", ""jr"", ""cr"", ""pp"", ""qo"", ""pr"", ""or"", ""qq"", ""oq"", ""rr"", ""mq"", ""mp"", ""lp"", ""mo"", ""il"", ""km"", ""lr"", ""rp"", ""ps"", ""qr"", ""sr"", ""ro"", ""rn"", ""qn"", ""qm"", ""om"", ""pn"", ""pm"", ""qn"", ""ql"", ""rl"", ""sn"", ""rm"", ""qs"", ""sq"", ""rq"", ""eh"", ""fh"", ""fi"", ""bh"", ""os"", ""nq"", ""nr"", ""ms"", ""ls"", ""gg"", ""pl"", ""rk"", ""ol"", ""nl"", ""qk"", ""sl"", ""ql"", ""sm"", ""jn"", ""jl"", ""kn"", ""ko"", ""lo"", ""lm"", ""im"", ""hq"", ""hp"", ""hs"", ""gq"", ""ij"", ""hk"", ""gj"", ""hj"", ""hi"", ""fk"", ""ik"", ""hl"", ""gm"", ""fj"", ""gs"", ""fs"", ""js"", ""ii"", ""jk"", ""gf"", ""ci"", ""ek"", ""fn"", ""fp"", ""ep"", ""ds"", ""go"", ""fo"", ""di"", ""gn"", ""mr"", ""ns"", ""go"", ""dq"", ""jm"", ""gn"", ""mr"", ""ms"", ""go"", ""lq"", ""pf"", ""qf"", ""mc"", ""gn"", ""pe"", ""qe"", ""go"", ""ec"", ""gd"", ""gc"", ""hc"", ""gb"", ""hf"", ""he"", ""hd"", ""hb"", ""ss"", ""gn"", ""qd"", ""qc"", ""go"", ""od""]"
38981,武宫正树,中小野田智己,W+2.5,"[""pd"", ""dd"", ""pp"", ""dp"", ""fq"", ""cn"", ""jp"", ""qn"", ""ql"", ""qq"", ""pq"", ""qp"", ""po"", ""pn"", ""qo"", ""ro"", ""rp"", ""rq"", ""rn"", ""sp"", ""on"", ""rm"", ""pm"", ""sn"", ""qm"", ""rn"", ""nm"", ""jc"", ""cf"", ""cd"", ""ci"", ""ck"", ""ef"", ""dg"", ""df"", ""fd"", ""ei"", ""nc"", ""pf"", ""ge"", ""fo"", ""dr"", ""lc"", ""ol"", ""om"", ""mq"", ""oc"", ""no"", ""oo"", ""ko"", ""kq"", ""jo"", ""ip"", ""io"", ""hp"", ""kl"", ""lp"", ""mn"", ""mm"", ""ln"", ""mo"", ""fh"", ""eg"", ""nd"", ""kd"", ""of"", ""jd"", ""ic"", ""pg"", ""og"", ""kg"", ""ph"", ""kj"", ""pe"", ""qe"", ""oe"", ""qd"", ""qh"", ""ik"", ""il"", ""hl"", ""hm"", ""gl"", ""kk"", ""lj"", ""jk"", ""jj"", ""jm"", ""rg"", ""rh"", ""qf"", ""ni"", ""be"", ""bd"", ""id"", ""hc"", ""er"", ""eq"", ""fr"", ""bi"", ""bh"", ""cj"", ""di"", ""dm"", ""hd"", ""gd"", ""gg"", ""pr"", ""or"", ""qs"", ""nq"", ""hf"", ""ig"", ""fk"", ""hj"", ""lo"", ""mp"", ""gj"", ""lm"", ""km"", ""hn"", ""im"", ""kb"", ""nb"", ""pb"", ""jb"", ""me"", ""qk"", ""pk"", ""rk"", ""pj"", ""mg"", ""bj"", ""bk"", ""ai"", ""hg"", ""hh"", ""fl"", ""gm"", ""fm"", ""gn"", ""gh"", ""hi"", ""lf"", ""le"", ""kf"", ""jf"", ""nk"", ""gf"", ""fj"", ""ak"", ""bm"", ""ad"", ""ac"", ""ae"", ""bb"", ""ep"", ""dq"", ""do"", ""en"", ""eo"", ""co"", ""ds"", ""cs"", ""es"", ""cr"", ""lg"", ""mf"", ""he"", ""nn"", ""np"", ""li"", ""ok"", ""pa"", ""oa"", ""ob"", ""qa"", ""qg"", ""rf"", ""mi"", ""ri"", ""si"", ""qi"", ""rj"", ""pi"", ""oi"", ""rl"", ""sl"", ""lh"", ""ki"", ""mh"", ""nh"", ""ne"", ""od"", ""nf"", ""ng"", ""al"", ""ji"", ""mk"", ""pc"", ""qc"", ""nl"", ""nj"", ""mj"", ""ml"", ""oj"", ""ja"", ""ia"", ""ka"", ""ke"", ""am"", ""an"", ""sg"", ""sh"", ""pl"", ""nj"", ""ha"", ""ib"", ""ec"", ""fc"", ""gb"", ""gc"", ""ed"", ""ee"", ""de"", ""fe"", ""eb"", ""fb"", ""cb"", ""ba"", ""fa"", ""hb"", ""je"", ""bl"", ""aj"", ""ho"", ""go"", ""jh"", ""jg"", ""eh"", ""dh"", ""ej"", ""dj"", ""dk"", ""ce"", ""bc"", ""in"", ""jn"", ""os"", ""na"", ""ps"", ""qr"", ""gk"", ""lk"", ""ij"", ""mc"", ""ld"", ""ih"", ""kp"", ""oc"", ""pa"", ""ga""]"
39162,武宫正树,后藤俊午,B+R,"[""pd"", ""dd"", ""pp"", ""dp"", ""pj"", ""nc"", ""pf"", ""jd"", ""jp"", ""hq"", ""cf"", ""dh"", ""cc"", ""dc"", ""cd"", ""de"", ""cb"", ""nq"", ""df"", ""ef"", ""eg"", ""dg"", ""ff"", ""ee"", ""bg"", ""gd"", ""no"", ""qq"", ""pq"", ""qp"", ""qo"", ""pr"", ""or"", ""qr"", ""po"", ""oq"", ""mq"", ""nr"", ""me"", ""ld"", ""eh"", ""di"", ""ei"", ""dj"", ""ej"", ""dk"", ""fl"", ""dn"", ""kf"", ""ll"", ""jl"", ""ol"", ""pl"", ""ln"", ""jn"", ""lp"", ""mp"", ""lq"", ""ok"", ""qc"", ""pc"", ""pb"", ""qd"", ""qb"", ""lr"", ""kq"", ""lo"", ""ko"", ""mo"", ""kn"", ""jo"", ""kp"", ""jq"", ""kr"", ""mr"", ""jr"", ""fq"", ""fp"", ""dq"", ""eq"", ""er"", ""ep"", ""gq"", ""gp"", ""cq"", ""dr"", ""cr"", ""fr"", ""ds"", ""hl"", ""hk"", ""gk"", ""ik"", ""gl"", ""gj"", ""lj"", ""fk"", ""db"", ""bi"", ""bj"", ""bo"", ""ca"", ""ba"", ""da"", ""bc"", ""bn"", ""co"", ""cn"", ""gn"", ""hr"", ""ro"", ""rp"", ""rc"", ""rb"", ""rd"", ""mi"", ""nh"", ""nl"", ""nk"", ""om"", ""pm"", ""ni"", ""oi"", ""gf"", ""mc"", ""md"", ""ob""]"
