Game ID,Black Player,White Player,Result,Winner,Final Board
197,武宫正树,大场惇也,B+0.5,B,". . . . . . . . 1 . 2 . . . 2 1 . . .
. . . 2 . . . 1 . 1 2 1 . 2 . 2 1 . .
. . . . . 1 . 1 1 2 . . . 2 2 2 1 . .
. . . 2 . . . . . 2 . 2 . . 2 1 . . .
. . . . . . 1 1 2 . . . . . 1 1 . . .
. . 2 2 . . 1 2 . 1 1 1 1 1 . . 1 . .
. . 2 1 1 . 1 2 . . 2 1 2 . 2 . 2 . .
. . . 1 . 2 1 2 . 1 2 1 . . . . 2 . .
. . 2 1 . 2 1 1 1 2 2 . 2 2 2 1 . . .
. . 2 . 2 . 2 . 2 . 2 . 2 1 1 1 . 1 .
. . . 2 . 2 . 2 . 2 1 . 2 . . . . . .
. . 2 . 1 . 1 . . . 1 2 . . . . . . .
. 2 1 . 1 . 1 2 2 1 . 1 2 1 . . . 1 .
. 1 2 1 . . . 1 1 . . . 1 . . 1 1 2 1
. . 2 2 2 . . . . . . . . . . . . 2 .
. . 2 2 1 1 . . . 2 . . . . . 1 . 2 .
. . 2 1 2 1 1 1 . . 1 . . . 1 1 2 . .
. 2 1 1 2 2 2 1 . . . . . 2 1 2 2 2 .
. . . . . . . . . . . . . . 1 1 2 . ."
794,水间俊文,武宫正树,W+R,W,". . . . . . . . . . . . . . . . . . .
1 . 1 1 . . . 1 . . . . . . . . . . .
. 1 2 . . 1 1 2 1 1 2 . 2 1 1 . . . .
2 2 . 2 . . . 2 2 2 2 . 2 1 . . 1 . .
. . . . . 1 . . . . . 2 1 1 2 . 1 . .
. . 2 2 1 . 1 1 1 2 . . 1 2 . 2 . 2 .
. 2 1 1 1 . 2 1 2 . 2 . 1 1 2 2 . 1 .
. 2 2 . . . . 2 2 . . . . 2 . . . 2 .
. 2 1 1 1 1 2 2 1 1 . 1 1 1 2 . . . .
. . . . 2 2 2 2 2 1 . . 2 1 . 2 . 1 .
. . 1 . . . 1 . 1 2 2 . . . 2 . 2 2 .
. . . 1 2 2 1 1 1 1 . 2 2 . 2 . . 1 .
. . . . . 2 1 . 2 . 1 1 1 1 1 1 1 . .
. . . 1 . 1 2 2 . . . . . . . . . 1 .
. . . . . 1 1 . 2 . . 2 . . . 2 . 1 .
. . 2 2 2 2 2 . . 2 . . . 2 . 2 1 2 .
. . 1 1 1 . . 1 . . . . 1 . 2 1 1 . .
. . . . 1 2 2 . . 2 . . . . 2 2 1 . .
. . . . . . . . . . . . . . . . . . ."
975,武宫正树,大桥拓文,B+8.5,B,". . . . . . . . . . . . . 2 . 2 . . .
. . . 2 2 1 . . . . . . 2 . 2 1 2 . .
. . . 2 1 . . . 1 1 2 2 . 2 1 . . 2 .
. . . 2 1 . . 1 . 2 1 . . 2 . 1 1 . .
. . 2 . 1 . . . . 2 1 1 1 2 2 2 1 . .
. . 2 1 . . . . . 2 2 1 2 2 1 1 2 . .
. . . 2 2 2 1 2 . 2 1 1 2 1 2 1 1 . .
. . . . 1 . 1 . . 1 . . 2 1 . . . . .
. . 2 . 1 . 1 2 . 1 1 2 . 1 . . . . .
. . . . 1 2 2 1 1 . 2 1 2 . . 1 . . .
. . . 1 . . . . . . . . . . . . . 1 .
. . . . . . . . . . . . . . . 1 1 . 1
. . . . . . . . . . . . . 1 . 1 2 1 .
. . 2 . . . . . . . 1 . . 1 2 2 2 2 2
. . . . . 2 . . . . . 2 2 1 2 2 2 1 1
. . 2 2 . . . . . 1 1 2 . 2 1 1 1 . 1
. 2 1 2 . 1 . . . 1 . 1 2 2 1 2 2 1 1
. 1 1 1 . . . . . . 1 . 2 . 2 . 2 . .
. . . . . . . . . . . . . 2 . 2 . . ."
38023,安田泰敏,武宫正树,W+R,W,". . . . . . . 1 1 2 2 . 2 . 2 1 1 . .
. . . . . . . 1 2 2 . 2 1 2 . 2 1 . .
. 1 1 1 . 1 . . 1 2 2 1 1 2 2 . 1 . .
. 1 2 2 2 1 1 . 1 1 1 1 . . . 1 . . .
1 2 2 . . . 2 1 . . 1 . . . . . . . .
. 1 1 2 1 2 2 2 2 2 2 1 . 2 . 1 . . .
. . . 1 2 1 . . . . . 2 . 2 1 . . . .
. . . . 2 . . . . . . . 2 1 . . . . .
. . 1 2 . . . . . . . . 2 . . . . . .
. . 1 . 2 . . . 2 . . . . . 1 1 1 . .
. 2 . 1 2 . . . . . . . . 2 2 2 . . .
. . 2 . . . . . . . . 2 2 1 . . . 1 .
. . . 2 . . . . . . 2 2 1 . 1 2 . . .
. 1 2 . . . . . . 1 2 1 1 1 2 2 1 . .
. . 1 2 . . . . 2 2 1 1 . 2 2 1 . 1 .
. 1 1 2 2 . . . . 1 2 1 1 2 1 . 1 . .
1 2 2 1 2 1 . 2 2 2 2 2 1 1 1 . . . .
. 2 1 1 2 . . . . 1 2 1 2 . . . . . .
. 1 . . . . . . . . 1 . . . . . . . ."
38067,中村秀仁,武宫正树,W+1.5,W,". . . . . . . . . 2 2 . . . . . . . .
. . 2 2 1 1 1 . 1 . 1 2 . . . 2 2 1 .
. . 2 1 1 . 2 . 1 . 1 2 . 2 2 1 2 . .
. . . 2 1 2 . . . 1 2 2 2 1 1 1 1 1 .
. 2 2 . 2 . . . 1 . 1 1 1 2 2 1 . . .
2 1 2 . . . . . . . . . 2 1 . 1 2 2 .
. 1 2 . 1 . 2 . 2 . 2 . 2 2 1 1 1 2 .
1 . 1 . 1 2 . . . . . 1 . . . 1 2 . .
. . 1 1 2 2 . . . . 2 . . 2 . 1 2 . .
. . . . 2 1 1 1 2 . . . 2 . . 1 . . .
. 1 1 1 1 1 2 . 2 . . . 2 1 . . 2 2 .
. 1 2 . 1 2 2 . . . . . . . . . 1 2 .
. 2 . 2 1 . . . . . . 2 . 2 . . 1 2 .
. . . . . . 1 . 2 . 2 . 2 1 1 . . 1 .
. . . 2 2 . . . . . . 1 1 . . . 1 . .
. 2 1 2 1 1 . 1 . 2 2 2 1 . . . . . .
. 2 2 1 . . 1 . . . 2 1 1 . . 1 . . .
. 2 1 1 . . 1 2 . 2 . 1 . . . . . . .
. . . . . . . . . . . . . . . . . . ."
38271,武宫正树,秋山次郎,B+R,B,". . . . . . . . . . . . . . . . . . .
. . . . 2 2 2 . . . 2 1 . . 1 1 . . .
. . . 1 1 1 . . . 2 2 2 1 . 2 2 1 1 .
. 2 . 2 . . 1 . . . . 1 1 . 2 1 2 1 .
. . . . . 2 1 1 . 2 . . . . . . 2 2 .
. . 1 2 2 1 . 1 1 . . 1 1 2 2 . 2 . 2
. 2 2 1 2 . 1 2 2 1 1 . 2 1 1 1 1 2 1
. . . . . 1 . 1 2 . 2 . 2 . . . . 1 .
. . . 1 . 1 . 1 2 . . . . . . . . . .
. . 1 . 1 1 2 1 2 . 2 . . . . . . . .
. . . 2 2 2 2 2 2 1 2 1 . . . . . . .
. . . 2 2 1 . . 2 1 1 1 . . . . . . .
. . . . . 1 2 . 1 2 1 . . 2 . 2 . . .
. . . 2 2 1 . 1 1 . . 1 2 . . 1 1 . .
. . 2 . 2 1 1 1 . 1 1 2 2 . . . . . .
. . . 2 1 1 2 1 1 2 2 1 2 . . 1 . . .
. . . 2 1 2 2 1 2 1 2 . . . 2 1 . . .
. . . . 1 . 2 2 2 . . . . . 1 . . . .
. . . . . . . . . . . . . . . . . . ."
38643,铃木伊佐男,武宫正树,W+R,W,". . . . . . . . . . . . . 2 . . . . .
. . 1 1 2 . . 1 . . . . 1 2 1 1 . . .
. . 1 2 . 1 . . . 1 1 1 1 2 2 1 . . .
. . 1 2 . . 2 . 2 . 2 2 1 2 . 1 1 1 .
. 1 2 . 2 . . . 2 . 2 1 1 2 1 1 2 1 .
. 1 2 . . . . . . . 1 2 2 2 2 2 2 2 .
. . 2 . . . . . . . 1 1 . . . . . 1 .
. . . . . . . . 2 . 2 1 . 2 . . 2 1 .
. . . . . . . . . . 2 1 1 . . . 2 1 .
. . . . . . . . . . . 2 1 2 . . . 1 2
. . . . . . . . . . . 2 1 . . 2 2 2 1
. . . . . . 2 . . 2 . 2 1 1 1 1 1 1 .
. . 1 . . . 1 2 2 1 . 2 2 2 2 1 1 2 1
. . . 2 . . . 1 1 . 1 2 1 1 1 2 2 2 .
. 1 . . . . . . . . . 1 1 . 2 1 2 2 2
. . . 2 . 2 2 1 1 . 1 . . 1 . 1 1 2 .
. . 1 . 2 1 1 2 1 . . 2 . 2 . 1 . 2 .
. . . 1 2 . . 2 2 2 . . . . . 1 . 2 .
. . . . . . . . . . . . . . . . 2 . ."
38858,熊丰,武宫正树,B+R,B,". . . . . . . . . . 1 . . . . . . . .
. . . . . . . . . 1 . 1 2 . . . . . .
. . 2 . . . . . . 1 1 2 . 2 1 . . . .
. . 1 2 . 1 . . . 1 2 2 1 1 . 1 . . .
. 2 1 2 . . . . . 1 2 . 2 . . . . . .
2 2 2 1 1 1 . . 1 1 2 . . . . . . . .
. 2 1 2 2 2 . 2 1 2 2 . 2 . 2 1 1 . .
. . 1 1 . . . 2 2 1 . 2 . . 2 2 1 . .
. . . . 2 . 1 . . 1 1 . . . 2 1 1 . .
. . . 2 . . . . . . . 2 1 1 1 . 1 . .
. . . 2 . . 1 . . . . 2 2 2 2 1 . . .
. 2 2 1 2 2 2 . . . 1 2 1 . . . . . .
. 1 1 1 2 . . 2 . . . . 1 2 . . . . .
1 . 1 1 2 . 1 2 1 . . 2 2 1 1 . . . .
1 . . 1 2 . . 1 2 2 . . 2 2 1 1 1 . .
. 1 1 2 . . 1 . 1 2 . 1 2 2 2 2 1 . .
. . . . 2 1 . . 1 2 . . 1 . 1 1 2 . .
. . 1 2 1 1 . 1 2 2 . . . . 1 2 . 2 .
. . . . . . . . . . . . . . . . . . ."
38981,武宫正树,中小野田智己,W+2.5,W,". . . . . . . . . . . . . . . . . . .
. . . . . . . . . 2 1 . . 2 . 1 . . .
. . . . . . . 2 2 2 . 1 . 2 1 . . . .
. 2 2 2 . 2 2 1 1 1 1 . . 2 . 1 1 . .
. 1 . . . . 2 . . . . 1 1 . 2 2 1 . .
. . 1 1 1 . 1 2 . 1 2 2 . . 2 1 1 . .
. . . 2 1 . 1 2 1 . 1 . 2 . 2 1 . 1 .
. 1 . . . 2 2 1 . . . . . . . 2 2 2 .
1 . 1 1 1 . . 1 . . . . . 2 . . . . .
. 1 2 . . 2 2 1 . 1 1 1 . . . 1 . . .
. 2 2 . . 2 . . 1 2 2 . . 2 . 1 2 2 .
. . . . . 2 1 1 2 . 2 . . . 2 . 1 . .
. . . 2 . 2 1 2 2 2 2 1 1 1 1 1 1 2 .
. . 2 . . . 1 1 . . . 2 2 . 1 2 2 2 2
. . . . . 1 . . 2 2 2 2 1 2 1 1 1 2 .
. . . 2 . . . 1 1 1 . 1 1 . . 1 2 . 2
. . . . 2 1 . . . . 1 . 2 1 . 1 2 2 .
. . . 2 1 1 . . . . . . . . 1 2 . . .
. . . . . . . . . . . . . . . . 2 . ."
39162,武宫正树,后藤俊午,B+R,B,". 1 2 2 . . . . . . . . . . . . . . .
. . 1 2 . . . . . . . . . . 1 2 2 2 .
. 1 1 2 . . . . . . . . 1 2 . 1 2 1 .
. . 1 2 . . 2 . . 2 . 2 2 . . 1 1 1 .
. . . 2 2 . . . . . . . 1 . . . . . .
. . 1 1 2 1 2 . . . 1 . . . . 1 . . .
. 1 . 2 1 . . . . . . . . . . . . . .
. . . 2 1 . . . . . . . . 1 . . . . .
. 1 . 2 1 . . . . . . . 2 2 1 . . . .
. 2 . 2 1 . 1 . . . . 2 . . . 1 . . .
. . . 2 . 1 2 1 1 . . . . 1 1 . . . .
. . . . . 1 2 2 . 1 . 2 . 2 2 1 . . .
. . . . . . . . . . . . . . 2 1 . . .
. 2 2 2 . . 1 . . 1 2 2 . . . . . . .
. 1 1 . . . . . . 1 2 1 1 1 . 1 1 1 .
. . . 2 2 2 2 . . 1 2 2 1 . . 1 2 2 .
. . 1 1 2 1 1 2 . 1 2 2 1 2 2 1 2 . .
. . 1 . 1 2 . 2 . 2 2 1 1 2 1 2 2 . .
. . . 1 . . . . . . . . . . . . . . ."
