Game ID,Black Player,White Player,Result,Winner,Board Diff,Corner Diff,Territory Diff,Liberty Diff
197,武宫正树,大场惇也,B+0.5,B,0,-4,-2,-4
794,水间俊文,武宫正树,W+R,W,-1,2,-1,-22
975,武宫正树,大桥拓文,B+8.5,B,1,-2,-3,5
38023,安田泰敏,武宫正树,W+R,W,2,10,-2,19
38067,中村秀仁,武宫正树,W+1.5,W,0,-1,0,-23
38271,武宫正树,秋山次郎,B+R,B,1,2,0,1
38643,铃木伊佐男,武宫正树,W+R,W,-1,8,-4,-14
38858,熊丰,武宫正树,B+R,B,4,-1,5,16
38981,武宫正树,中小野田智己,W+2.5,W,-1,-6,-8,6
39162,武宫正树,后藤俊午,B+R,B,2,1,1,27
39242,武宫正树,山田拓自,W+2.5,W,1,1,0,-6
39689,武宫正树,邹海石,B+7.5,B,-3,-12,-3,-5
39738,武宫正树,依田纪基,W+R,W,1,-2,2,28
40382,武宫正树,工藤纪夫,B+R,B,2,1,1,-11
40506,武宫正树,山田规喜,W+0.5,W,-1,-1,-2,19
40578,武宫正树,郑铭煌,B+2.5,B,1,-3,-2,-4
40730,林子渊,武宫正树,B+4.5,B,0,8,-3,3
40892,武宫正树,李沂修,B+1.5,B,1,1,0,27
40992,武宫正树,苏耀国,B+R,B,1,-4,-2,-4
41170,武宫正树,杉内雅男,B+R,B,1,1,0,-8
41216,武宫正树,高尾绅路,B+3.5,B,-1,-4,-5,0
41235,堀本满成,武宫正树,W+7.5,W,-2,0,3,11
41514,依田纪基,武宫正树,B+3.5,B,0,4,0,-14
41529,武宫正树,淡路修三,B+R,B,1,14,1,-7
47727,武宫正树,王立诚,B+R,B,2,-1,1,5
47756,武宫正树,大矢浩一,W+2.5,W,-3,-8,-5,-7
47808,结城聪,武宫正树,W+1.5,W,4,3,4,41
48017,武宫正树,小山龙吾,B+R,B,0,5,0,10
48114,山下敬吾,武宫正树,B+8.5,B,-1,-4,-2,-12
48695,武宫正树,沟上知亲,W+7.5,W,-1,-2,-2,-7
